Spine,Title,Alternative,Year,Release,Boxset,Format,OOP
91,Underworld Beauty,,1958,UK/US/CA,,Blu ray,
92,"Je t'aime, je t'aime",,1968,UK,,Blu ray,
93,"Eel, The",,1997,UK/US/CA,,Blu ray,
94,Hokuriku Proxy War,,1977,UK/US/CA,,Blu ray,
95,Il Posto,,1961,UK,,Blu ray,
96,I Fidanzati,,1963,UK,,Blu ray,
97,Police Python 357,,1976,UK/US/CA,Hardboild (Corneau),Blu ray,
98,Serie Noire,,1979,UK/US/CA,Hardboild (Corneau),Blu ray,
99,Choice of Arms,,1981,UK/US/CA,Hardboild (Corneau),Blu ray,
100,Not Guilty,,1947,UK,World Noir Vol. 3,Blu ray,
101,"Lost One, The",,1951,UK,World Noir Vol. 3,Blu ray,
102,Girl with Hyacinths,,1950,UK,World Noir Vol. 3,Blu ray,
103,Girl with a Suitcase,,1961,UK/US/CA,,Blu ray,
104,"Tale of Sorrow and Sadness, A",,1977,UK/US/CA,,Blu ray,
105,Themroc,,1973,UK/US/CA,,Blu ray,
106,River of Grass,,1994,UK,,Blu ray,
107,Va Savoir,,2001,UK,,Blu ray,
108,"Rapacious Jailbreaker, The",,1974,UK/US/CA,,Blu ray,
109,Palindromes,,2004,UK/US/CA,,Blu ray/4K,
110,What Happened Was...,,1994,UK,,Blu ray,
111,Nomad,,1982,UK,,Blu ray,
112,My Heart is That Eternal Rose,,1989,UK,,Blu ray,
113,"Railroad Man, The",,1956,UK,,Blu ray,
114,"Tale of Oiwa's Ghost, The",,1961,UK/US/CA,,Blu ray,
115,"Rosa la rose, fille publique",,1985,UK/US/CA,,Blu ray,
116,"Beast to Die, The",,1980,UK/US/CA,,Blu ray,
117,"Inquisitor, The",,1981,UK,,Blu ray/4K,
118,Deadly Circuit,,1983,UK,,Blu ray,
119,Chnouf,Razzie sur la Chnouf,1955,UK,World Noir Vol. 4,Blu ray,
120,Back to the Wall,,1958,UK,World Noir Vol. 4,Blu ray,
121,Paris Pick-up,,1962,UK,World Noir Vol. 4,Blu ray,
122,"Terra Trema, La",,1948,UK,,Blu ray,
123,Senso,,1954,UK,,Blu ray,
124,"Notti Bianche, Le",,1957,UK,,Blu ray,
125,Essential Polish Animation,,1957-1986,UK,,Blu ray,
127,Siege,,1964,UK/US/CA,Shinobi Vol. 2,Blu ray,
127,Return of Mist Saizo,,1964,UK/US/CA,Shinobi Vol. 2,Blu ray,
128,The Last Iga Spy,,1965,UK/US/CA,Shinobi Vol. 2,Blu ray,
129,Through and Through,,1973,UK/US/CA,,Blu ray,
130,"Betrayal, The",,1966,UK/US/CA,,Blu ray,
131,Los Golfos,The Delinquents,1962,UK/US/CA,,Blu ray,
132,Demon of Mount Oe,,1960,UK/US/CA,Daiei Gothic Vol. 2,Blu ray,
133,"Haunted Castle, The",,1969,UK/US/CA,Daiei Gothic Vol. 2,Blu ray,
134,Ghost of Kasane Swamp,,1970,UK/US/CA,Daiei Gothic Vol. 2,Blu ray,
135,In My Skin,,2002,UK,,Blu ray,
136,Daughters of Darkness,,1971,UK,,Blu ray/4K,
137,Malpertuis,,1971,UK/US,,Blu ray,
138,Splendid Outing,,1978,UK/US/CA,,Blu ray,
139,"Ogre of Athens, The",,1956,UK/US,,Blu ray,
140,Pocket Money,,1976,UK,,Blu ray,
141,Nude in a White Car,,1958,UK/US/CA,Wicked Games (Hossein),Blu ray,
142,"Wicked Go to Hell, The",,1955,UK/US/CA,Wicked Games (Hossein),Blu ray,
143,"Taste of Violence, The",,1961,UK/US/CA,Wicked Games (Hossein),Blu ray,
144,"Catch, The",,1961,UK,Radical Japan: Cinema and State (Oshima),Blu ray,
145,Death By Hanging,,1968,UK,Radical Japan: Cinema and State (Oshima),Blu ray,
146,Diary of a Shinjuku Thief,,1969,UK,Radical Japan: Cinema and State (Oshima),Blu ray,
147,Boy,,1969,UK,Radical Japan: Cinema and State (Oshima),Blu ray,
148,"Man Who Left His Will on Film, The",,1970,UK,Radical Japan: Cinema and State (Oshima),Blu ray,
149,"Ceremony, The",,1971,UK,Radical Japan: Cinema and State (Oshima),Blu ray,
150,Dear Summer Sister,,1972,UK,Radical Japan: Cinema and State (Oshima),Blu ray,
151,Une Femme Douce,,1969,UK,,Blu ray,
